,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
XC306327,-451.30707,80.64404,29.628012,23.985844,6.6199045,21.830849,8.128401,14.744941,5.4153414,13.205707,-1.8109101,10.355275,-0.11800635,3.4932034,3.4339087,0.65481895,0.022388738,4.3204913,-4.192344,3.5091207
XC359137,-308.05887,113.41281,-4.996208,-2.5545218,-33.991924,-3.785619,-19.533077,-1.9893602,-21.187246,-8.692956,-21.255272,-10.643812,-18.245716,-11.497537,-15.425588,-9.23004,-14.371914,-9.794994,-12.656849,-7.717511
XC443468,-507.46075,35.15048,28.142035,37.046352,1.2427262,2.2287285,-24.586864,-8.961552,-44.947384,-21.180445,-26.52565,-19.93231,-21.25016,-0.44778606,-14.876352,-7.90761,-5.1965337,-6.6595488,-7.8167133,0.50746447
XC347355,-233.43546,68.09084,13.360506,-43.51537,-27.313862,19.418993,-33.68989,24.90975,-13.832989,15.374503,-10.931909,4.8344703,-7.111248,2.3744547,-5.0904317,2.018973,-3.2217152,0.91483563,-5.9176517,2.285485
XC149398,-699.14526,-99.52908,-56.29457,-5.656519,15.908075,7.7002892,-1.747764,20.00331,-8.016973,-6.1733804,-11.391272,7.991631,-1.2391078,4.702794,-2.333952,4.4169917,-3.3164902,-0.79433,-4.2073865,6.5136194
XC418027,-323.71478,38.16009,-27.566406,-17.314476,-27.07245,-4.430679,-12.69902,-0.967942,-7.296693,-1.2619896,-1.2397668,-1.3958296,-0.35584393,-0.91793764,-1.8775469,0.6777846,-3.2806015,2.6820734,-4.622795,3.3596323
XC358548,-423.2834,45.448555,-10.972767,-6.0638657,-3.0739086,1.0185748,1.7614522,-0.13224737,-9.131483,6.325941,-3.3602123,-2.4446836,-6.6914206,0.84890324,-4.8427234,0.49953905,-4.0604777,1.2615027,-2.9626133,3.0846734
XC149403,-677.9332,-61.534645,-30.214422,5.040829,-13.83846,12.861393,-4.5732126,9.387775,-8.261996,13.403271,-2.8546348,3.8914163,-2.9777875,1.8130885,3.4521255,0.09026538,1.8678873,-4.843703,-4.9453163,1.8915999
XC228622,-394.15558,-23.433748,-27.591396,-12.076734,-7.8460174,33.33969,-16.640375,21.960516,-4.2166214,16.483732,2.5121818,7.669018,0.40252256,6.901086,5.5015755,2.1870847,6.325109,0.1876798,2.5916867,5.186917
XC149393,-650.69696,-56.672527,-34.61017,-1.7773507,-4.059515,12.466999,-13.054778,21.548048,-12.36251,13.114839,-9.692674,3.0480564,-2.507541,-1.8949963,0.18771572,-1.9199888,4.0437813,-1.9759464,2.755911,-1.2557273
XC453072,-486.6553,20.501427,-8.515448,0.5642165,-3.358913,0.52364814,-10.425568,5.847084,-11.352925,1.0059421,-0.17147309,-1.057367,-6.382885,4.466846,-5.356815,0.51921374,-2.443339,-1.0426258,-3.347561,0.13810235
XC149397,-648.32043,-65.01043,-39.7344,-5.7043805,-6.722258,-12.455224,-10.0556,23.383873,5.5253468,6.570755,1.5803969,4.7869997,-8.761065,-6.588447,-1.6896005,-0.6449227,-3.4911778,4.2117815,2.3930695,3.3827252
XC149387,-609.8773,-115.45895,5.977576,14.229884,-34.48995,2.7510936,-0.97952336,6.5844035,-16.695509,11.904615,-10.598545,3.5674293,-7.8530893,0.4894427,-7.434923,1.2285237,-8.802112,-2.50308,-4.475747,-0.9235718
XC14550,-568.3776,-7.058156,-0.57991314,-18.33215,3.0643954,17.44909,8.263822,21.473269,3.6029592,19.121393,2.429721,14.38326,2.2707038,9.751501,3.182208,5.910776,4.447404,4.4389386,3.9500732,4.909432
XC350673,-652.7837,-161.34103,-30.972132,21.225035,1.5914185,26.01448,-15.000552,7.2612557,-15.644686,0.7062109,3.682318,6.6718,1.513774,-4.8928514,-5.616647,1.9644023,2.1101854,6.081795,-3.6169596,-1.8635844
XC350681,-548.7487,-22.324654,-48.182995,-19.36441,-26.064753,3.769611,-20.923252,1.408698,-17.904211,-1.5083048,-6.552844,-3.353911,-0.7340581,-2.0683913,2.3626797,1.7599527,0.10741412,3.4391294,-0.9873263,6.876772
XC90535,-276.28616,66.9621,-8.019652,23.45412,21.71363,43.850258,-0.53150403,18.91438,-16.348963,18.598246,-4.106095,7.9110794,1.5042738,8.504007,9.856667,7.6370397,3.1761997,4.528575,5.2081504,5.908472
XC283953,-497.19156,-1.1963601,-32.04565,14.728121,-7.758817,9.061207,-6.3394012,4.899078,-6.2643056,12.430434,-8.8385105,0.3385589,-6.531508,0.20080495,-1.7948481,0.4185092,-4.2735777,-3.1292095,0.4348982,0.12806113
XC339894,-435.39487,153.8703,14.368605,36.353523,6.43697,22.504126,10.403118,7.537821,-4.882209,11.419792,6.7857594,1.0193772,2.4374304,6.7828665,13.584296,-3.80391,5.280327,7.083789,6.808561,4.2317038
XC450763,-452.08365,-5.2916393,-4.2104177,4.6400995,-4.195525,2.326294,-7.9269824,9.194051,-9.965377,7.459865,-2.6458344,3.2008643,-4.7700357,2.6433275,-4.414274,3.7403278,-1.7155526,1.3128594,-4.0501485,2.770697
XC450764,-529.35065,-39.424526,2.670242,7.5431833,-14.762819,16.867865,-15.289505,11.124222,-6.042436,0.70936096,3.7958992,-3.9308743,1.9986578,1.0606968,-5.3054905,4.5372596,-3.5167716,3.421021,-3.8164077,2.796035
XC363349,-493.87134,-1.4758402,25.454182,13.242873,-22.62713,23.627338,-24.505074,15.222692,-20.837997,-2.8102965,-12.707499,-4.898627,-6.206917,-3.412388,-2.5714173,-0.48985067,-3.8555837,-1.7522901,-3.7225742,-0.07831806
XC256216,-646.111,18.105688,3.0715232,11.41233,-11.697143,6.706075,-15.383969,2.478167,-14.742944,0.8473124,-11.480605,-1.578705,-8.559105,-2.741638,-6.550876,-3.206415,-6.2587647,-2.659895,-6.5691876,-2.7096095
XC149390,-667.9837,-81.932205,-21.81987,1.6606958,-0.66022706,8.091733,-13.206963,13.394388,-3.28356,8.377071,-4.3669925,1.4410503,-2.6775322,-1.72529,-4.1341863,1.8909899,1.3264855,3.0311,-1.0033845,1.7344943
XC350680,-492.24536,72.72194,8.212932,32.0914,-13.859575,16.093513,-0.74984455,3.6248922,-2.8038585,4.9222198,-5.970562,3.9531796,-4.1167316,1.7819471,0.6567706,3.5326924,-1.031709,4.2939715,-0.84774446,3.4504695
